ID	可用版本	可用平台	升级后的ID（大于10000的数）	卡牌名称备注	卡牌简述备注	卡牌描述备注	卡牌名称	卡牌简述	卡牌描述	卡牌图集名称	卡牌图片名称	卡牌类型	卡牌作用对象类型	卡牌最大作用对象数量	卡牌所用子弹	使用条件	特性	获取事件	移除事件	抽到事件	使用效果	丢弃事件事件	消耗事件	回合结束自动弃牌事件	加入手牌事件	离开手牌事件	卡牌所携带的buff信息	融合标签	复制时的特殊值	卡牌解锁信息
ModCardID(1002)	1	1	ModCardID(11002)	Low Kick		Melee. Deal 5 Fighting Damage. Critical Hit on Heavy enemies.	ModCardNameAttackMelee2		ModCardInfoAttackMelee2	cards	cardFighting	1	1	211	0	null	[]	null	null	null	GHT{"name":"GreaterThan","values":["<C_OneActionDuration:1:2227>","0"]}|[1010,0,1,211,[((0+<DR_Fight_GetValue:FightingFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)*(1-<C_OneActionDuration:1:ModHighActionID(17)>))+(5)*((<C_OneActionDuration:1:ModHighActionID(10)>+<C_OneActionDuration:1:ModHighActionID(15)>+<C_OneActionDuration:1:ModHighActionID(6)>+<C_OneActionDuration:1:ModHighActionID(18)>+<C_OneActionDuration:1:ModHighActionID(8)>)^2)/((<C_OneActionDuration:1:ModHighActionID(12)>+<C_OneActionDuration:1:ModHighActionID(13)>+<C_OneActionDuration:1:ModHighActionID(16)>+<C_OneActionDuration:1:ModHighActionID(5)>+<C_OneActionDuration:1:ModHighActionID(9)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(11)>/2))*(1+(<DR_Fight_GetValue:FightingMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))*(1-<C_OneActionDuration:1:ModHighActionID(17)>)],null,null,Melee/Melee_Kick]|[1002,0,1,211,[((0+<DR_Fight_GetValue:FightingFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)*(1-<C_OneActionDuration:1:ModHighActionID(17)>))+(5)*((<C_OneActionDuration:1:ModHighActionID(10)>+<C_OneActionDuration:1:ModHighActionID(15)>+<C_OneActionDuration:1:ModHighActionID(6)>+<C_OneActionDuration:1:ModHighActionID(18)>+<C_OneActionDuration:1:ModHighActionID(8)>)^2)/((<C_OneActionDuration:1:ModHighActionID(12)>+<C_OneActionDuration:1:ModHighActionID(13)>+<C_OneActionDuration:1:ModHighActionID(16)>+<C_OneActionDuration:1:ModHighActionID(5)>+<C_OneActionDuration:1:ModHighActionID(9)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(11)>/2))*(1+(<DR_Fight_GetValue:FightingMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))*(1-<C_OneActionDuration:1:ModHighActionID(17)>)],null,null,Melee/Melee_Kick]	null	null	null	null	null	null	[1]	null	LockedDesCollection_Hero
ModCardID(11002)	1	1	0	Low Kick		Melee. Deal 7 Fighting Damage. Critical Hit on Heavy enemies.	ModCardNameAttackMelee2		ModCardInfoAttackMelee2Up	cards	cardFighting	1	1	211	0	null	[]	null	null	null	GHT{"name":"GreaterThan","values":["<C_OneActionDuration:1:2227>","0"]}|[1010,0,1,211,[((0+<DR_Fight_GetValue:FightingFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)*(1-<C_OneActionDuration:1:ModHighActionID(17)>))+(5)*((<C_OneActionDuration:1:ModHighActionID(10)>+<C_OneActionDuration:1:ModHighActionID(15)>+<C_OneActionDuration:1:ModHighActionID(6)>+<C_OneActionDuration:1:ModHighActionID(18)>+<C_OneActionDuration:1:ModHighActionID(8)>)^2)/((<C_OneActionDuration:1:ModHighActionID(12)>+<C_OneActionDuration:1:ModHighActionID(13)>+<C_OneActionDuration:1:ModHighActionID(16)>+<C_OneActionDuration:1:ModHighActionID(5)>+<C_OneActionDuration:1:ModHighActionID(9)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(11)>/2))*(1+(<DR_Fight_GetValue:FightingMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))*(1-<C_OneActionDuration:1:ModHighActionID(17)>)],null,null,Melee/Melee_Kick]|[1002,0,1,211,[((0+<DR_Fight_GetValue:FightingFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)*(1-<C_OneActionDuration:1:ModHighActionID(17)>))+(5)*((<C_OneActionDuration:1:ModHighActionID(10)>+<C_OneActionDuration:1:ModHighActionID(15)>+<C_OneActionDuration:1:ModHighActionID(6)>+<C_OneActionDuration:1:ModHighActionID(18)>+<C_OneActionDuration:1:ModHighActionID(8)>)^2)/((<C_OneActionDuration:1:ModHighActionID(12)>+<C_OneActionDuration:1:ModHighActionID(13)>+<C_OneActionDuration:1:ModHighActionID(16)>+<C_OneActionDuration:1:ModHighActionID(5)>+<C_OneActionDuration:1:ModHighActionID(9)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(11)>/2))*(1+(<DR_Fight_GetValue:FightingMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))*(1-<C_OneActionDuration:1:ModHighActionID(17)>)],null,null,Melee/Melee_Kick]	null	null	null	null	null	null	[1]	null	LockedDesCollection_Hero
ModCardID(1003)	1	1	ModCardID(11003)	Double Edge		Melee. Deal 12 Normal Damage. 25% Recoil	ModCardNameAttackMelee3		ModCardInfoAttackMelee3	cards	cardNormal	1	1	211	0	null	[]	null	null	null	GHT{"name":"null","values":[]}|[ModHighActionID(62),1,1,0,null,null,0&1002,0,1,211,[((0+<DR_Fight_GetValue:NormalFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)*(1-<C_OneActionDuration:1:ModHighActionID(17)>))+(12)/((<C_OneActionDuration:1:ModHighActionID(15)>+<C_OneActionDuration:1:ModHighActionID(18)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(10)>/2))*(1+(<DR_Fight_GetValue:NormalMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))*(1-<C_OneActionDuration:1:ModHighActionID(17)>)],null,null,Melee/Melee_Kick]	null	null	null	null	null	null	[1]	null	LockedDesCollection_Hero
ModCardID(11003)	1	1	0	Double Edge		Melee. Deal 15 Normal Damage. 25% Recoil	ModCardNameAttackMelee3		ModCardInfoAttackMelee3Up	cards	cardNormal	1	1	211	0	null	[]	null	null	null	GHT{"name":"null","values":[]}|[ModHighActionID(62),1,1,0,null,null,0&1002,0,1,211,[((0+<DR_Fight_GetValue:NormalFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)*(1-<C_OneActionDuration:1:ModHighActionID(17)>))+(15)/((<C_OneActionDuration:1:ModHighActionID(15)>+<C_OneActionDuration:1:ModHighActionID(18)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(10)>/2))*(1+(<DR_Fight_GetValue:NormalMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))*(1-<C_OneActionDuration:1:ModHighActionID(17)>)],null,null,Melee/Melee_Kick]	null	null	null	null	null	null	[1]	null	LockedDesCollection_Hero
ModCardID(1004)	1	1	ModCardID(11004)	Mud Slap		Melee. Deal 4 Ground Damage. Applies Blind x1	ModCardNameAttackMelee4		ModCardInfoAttackMelee4	cards	cardGround	1	1	211	0	null	[]	null	null	null	GHT{"name":"null","values":[]}|[1002,0,1,211,[((0+<DR_Fight_GetValue:GroundFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)*(1-<C_OneActionDuration:1:ModHighActionID(12)>))+(4)*((<C_OneActionDuration:1:ModHighActionID(13)>+<C_OneActionDuration:1:ModHighActionID(15)>+<C_OneActionDuration:1:ModHighActionID(1)>+<C_OneActionDuration:1:ModHighActionID(4)>+<C_OneActionDuration:1:ModHighActionID(18)>)^2)/((<C_OneActionDuration:1:ModHighActionID(3)>+<C_OneActionDuration:1:ModHighActionID(16)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(14)>/2))*(1+(<DR_Fight_GetValue:GroundMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))*(1-<C_OneActionDuration:1:ModHighActionID(12)>)],null,null,Melee/Melee_Kick&ModHighActionID(55),0,1,321,3007!1,null]	null	null	null	null	null	null	[1]	null	LockedDesCollection_Hero
ModCardID(11004)	1	1	0	Mud Slap		Melee. Deal 6 Ground Damage. Applies Blind x2	ModCardNameAttackMelee4		ModCardInfoAttackMelee4Up	cards	cardGround	1	1	211	0	null	[]	null	null	null	GHT{"name":"null","values":[]}|[1002,0,1,211,[((0+<DR_Fight_GetValue:GroundFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)*(1-<C_OneActionDuration:1:ModHighActionID(12)>))+(6)*((<C_OneActionDuration:1:ModHighActionID(13)>+<C_OneActionDuration:1:ModHighActionID(15)>+<C_OneActionDuration:1:ModHighActionID(1)>+<C_OneActionDuration:1:ModHighActionID(4)>+<C_OneActionDuration:1:ModHighActionID(18)>)^2)/((<C_OneActionDuration:1:ModHighActionID(3)>+<C_OneActionDuration:1:ModHighActionID(16)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(14)>/2))*(1+(<DR_Fight_GetValue:GroundMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))*(1-<C_OneActionDuration:1:ModHighActionID(12)>)],null,null,Melee/Melee_Kick&ModHighActionID(55),0,1,321,3007!2,null]	null	null	null	null	null	null	[1]	null	LockedDesCollection_Hero
ModCardID(1005)	1	1	ModCardID(11005)	Acrobatics		Melee. Deal 4 Flying Damage. Deals +1 Damage per empty Relic slot.	ModCardNameAttackMelee5		ModCardInfoAttackMelee5	cards	cardFlying	1	1	221	0	null	[]	null	null	null	GHT{"name":"null","values":[]}|[1002,0,1,211,[(0+<DR_Fight_GetValue:FlyingFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)+(4+[<RelicsMax>-<RelicsCount>])*((<C_OneActionDuration:1:ModHighActionID(3)>+<C_OneActionDuration:1:ModHighActionID(11)>+<C_OneActionDuration:1:ModHighActionID(16)>)^2)/((<C_OneActionDuration:1:ModHighActionID(18)>+<C_OneActionDuration:1:ModHighActionID(4)>+<C_OneActionDuration:1:ModHighActionID(15)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(12)>/2))*(1+(<DR_Fight_GetValue:FlyingMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))],null,null,Melee/Melee_Kick]	null	null	null	null	null	null	[1]	null	LockedDesCollection_Hero
ModCardID(11005)	1	1	0	Acrobatics		Melee. Deal 6 Flying Damage. Deals +2 Damage per empty Relic slot.	ModCardNameAttackMelee5		ModCardInfoAttackMelee5Up	cards	cardFlying	1	1	221	0	null	[]	null	null	null	GHT{"name":"null","values":[]}|[1002,0,1,211,[(0+<DR_Fight_GetValue:FlyingFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)+(6+(2*[<RelicsMax>-<RelicsCount>]))*((<C_OneActionDuration:1:ModHighActionID(3)>+<C_OneActionDuration:1:ModHighActionID(11)>+<C_OneActionDuration:1:ModHighActionID(16)>)^2)/((<C_OneActionDuration:1:ModHighActionID(18)>+<C_OneActionDuration:1:ModHighActionID(4)>+<C_OneActionDuration:1:ModHighActionID(15)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(12)>/2))*(1+(<DR_Fight_GetValue:FlyingMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))],null,null,Melee/Melee_Kick]	null	null	null	null	null	null	[1]	null	LockedDesCollection_Hero
ModCardID(1800)	1	1	ModCardID(11800)	Poison Fang		Melee. Deal 5 Poison Damage. Has a 30% chance to apply Toxic Poison x2	ModCardNameZubat1		ModCardInfoZubat1	cards	cardPoison	1	1	211	0	null	[]	null	null	null	GHT{"name":"Probability","values":["[70+(<C_OneActionDuration:1:ModHighActionID(18)>*30)]","1","100"]}|[1002,0,1,221,[((0+<DR_Fight_GetValue:PoisonFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)*(1-<C_OneActionDuration:1:ModHighActionID(18)>))+(5)*((<C_OneActionDuration:1:ModHighActionID(3)>+<C_OneActionDuration:1:ModHighActionID(9)>)^2)/((<C_OneActionDuration:1:ModHighActionID(13)>+<C_OneActionDuration:1:ModHighActionID(14)>+<C_OneActionDuration:1:ModHighActionID(15)>+<C_OneActionDuration:1:ModHighActionID(17)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(13)>/2))*(1+(<DR_Fight_GetValue:PoisonMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))*(1-<C_OneActionDuration:1:ModHighActionID(18)>)],null&ModHighActionID(40),0,1,321,ModHighActionID(29)!2,null]|[1002,0,1,221,[((0+<DR_Fight_GetValue:PoisonFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)*(1-<C_OneActionDuration:1:ModHighActionID(18)>))+(5)*((<C_OneActionDuration:1:ModHighActionID(3)>+<C_OneActionDuration:1:ModHighActionID(9)>)^2)/((<C_OneActionDuration:1:ModHighActionID(13)>+<C_OneActionDuration:1:ModHighActionID(14)>+<C_OneActionDuration:1:ModHighActionID(15)>+<C_OneActionDuration:1:ModHighActionID(17)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(13)>/2))*(1+(<DR_Fight_GetValue:PoisonMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))*(1-<C_OneActionDuration:1:ModHighActionID(18)>)],null]	null	null	null	null	null	null	[1]	null	LockedDesCollection_Hero
ModCardID(11800)	1	1	0	Poison Fang		Melee. Deal 7 Poison Damage. Has a 30% chance to apply Toxic Poison x3	ModCardNameZubat1		ModCardInfoZubat1Up	cards	cardPoison	1	1	211	0	null	[]	null	null	null	GHT{"name":"Probability","values":["[70+(<C_OneActionDuration:1:ModHighActionID(18)>*30)]","1","100"]}|[1002,0,1,221,[((0+<DR_Fight_GetValue:PoisonFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)*(1-<C_OneActionDuration:1:ModHighActionID(18)>))+(7)*((<C_OneActionDuration:1:ModHighActionID(3)>+<C_OneActionDuration:1:ModHighActionID(9)>)^2)/((<C_OneActionDuration:1:ModHighActionID(13)>+<C_OneActionDuration:1:ModHighActionID(14)>+<C_OneActionDuration:1:ModHighActionID(15)>+<C_OneActionDuration:1:ModHighActionID(17)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(13)>/2))*(1+(<DR_Fight_GetValue:PoisonMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))*(1-<C_OneActionDuration:1:ModHighActionID(18)>)],null&ModHighActionID(40),0,1,321,ModHighActionID(29)!3,null]|[1002,0,1,221,[((0+<DR_Fight_GetValue:PoisonFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)*(1-<C_OneActionDuration:1:ModHighActionID(18)>))+(7)*((<C_OneActionDuration:1:ModHighActionID(3)>+<C_OneActionDuration:1:ModHighActionID(9)>)^2)/((<C_OneActionDuration:1:ModHighActionID(13)>+<C_OneActionDuration:1:ModHighActionID(14)>+<C_OneActionDuration:1:ModHighActionID(15)>+<C_OneActionDuration:1:ModHighActionID(17)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(13)>/2))*(1+(<DR_Fight_GetValue:PoisonMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))*(1-<C_OneActionDuration:1:ModHighActionID(18)>)],null]	null	null	null	null	null	null	[1]	null	LockedDesCollection_Hero
ModCardID(1801)	1	1	ModCardID(11801)	Leech Life		Melee. Deal 8 Bug Damage. 25% Lifesteal	ModCardNameZubat2		ModCardInfoZubat2	cards	cardBug	1	1	211	0	null	[]	null	null	null	GHT{"name":"null","values":[]}|[1012,1,1,0,[<A_TriggerActionWorkValue:0>*0.25],null&1002,0,1,211,[(0+<DR_Fight_GetValue:BugFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)+(8)*((<C_OneActionDuration:1:ModHighActionID(3)>+<C_OneActionDuration:1:ModHighActionID(5)>+<C_OneActionDuration:1:ModHighActionID(8)>)^2)/((<C_OneActionDuration:1:ModHighActionID(11)>+<C_OneActionDuration:1:ModHighActionID(12)>+<C_OneActionDuration:1:ModHighActionID(13)>+<C_OneActionDuration:1:ModHighActionID(17)>+<C_OneActionDuration:1:ModHighActionID(18)>+<C_OneActionDuration:1:ModHighActionID(1)>+<C_OneActionDuration:1:ModHighActionID(9)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(16)>/2))*(1+(<DR_Fight_GetValue:BugMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))],null]	null	null	null	null	null	null	[1]	null	LockedDesCollection_Hero
ModCardID(11801)	1	1	0	Leech Life		Melee. Deal 12 Bug Damage. 25% Lifesteal	ModCardNameZubat2		ModCardInfoZubat2Up	cards	cardBug	1	1	211	0	null	[]	null	null	null	GHT{"name":"null","values":[]}|[1012,1,1,0,[<A_TriggerActionWorkValue:0>*0.25],null&1002,0,1,211,[(0+<DR_Fight_GetValue:BugFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)+(12)*((<C_OneActionDuration:1:ModHighActionID(3)>+<C_OneActionDuration:1:ModHighActionID(5)>+<C_OneActionDuration:1:ModHighActionID(8)>)^2)/((<C_OneActionDuration:1:ModHighActionID(11)>+<C_OneActionDuration:1:ModHighActionID(12)>+<C_OneActionDuration:1:ModHighActionID(13)>+<C_OneActionDuration:1:ModHighActionID(17)>+<C_OneActionDuration:1:ModHighActionID(18)>+<C_OneActionDuration:1:ModHighActionID(1)>+<C_OneActionDuration:1:ModHighActionID(9)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(16)>/2))*(1+(<DR_Fight_GetValue:BugMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))],null]	null	null	null	null	null	null	[1]	null	LockedDesCollection_Hero
ModCardID(2001)	1	1	ModCardID(12001)	Ember		Ranged. Deal 5 Fire Damage. Has a 20% chance to apply Burn x2	ModCardNameAttackRanged1		ModCardnfoAttackRanged1	cards	cardFire	2	2	221	1	null	[]	null	null	null	GHT{"name":"Probability","values":["80","1","100"]}|[1001,0,1,221,[(0+<DR_Fight_GetValue:FireFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)+(5)*((<C_OneActionDuration:1:ModHighActionID(3)>+<C_OneActionDuration:1:ModHighActionID(6)>+<C_OneActionDuration:1:ModHighActionID(16)>+<C_OneActionDuration:1:ModHighActionID(18)>)^2)/((<C_OneActionDuration:1:ModHighActionID(1)>+<C_OneActionDuration:1:ModHighActionID(2)>+<C_OneActionDuration:1:ModHighActionID(15)>+<C_OneActionDuration:1:ModHighActionID(7)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(1)>/2))*(1+(<DR_Fight_GetValue:FireMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))],null&ModHighActionID(37),0,1,321,ModHighActionID(23)!2,null]|[1001,0,1,221,[(0+<DR_Fight_GetValue:FireFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)+(5)*((<C_OneActionDuration:1:ModHighActionID(3)>+<C_OneActionDuration:1:ModHighActionID(6)>+<C_OneActionDuration:1:ModHighActionID(16)>+<C_OneActionDuration:1:ModHighActionID(18)>)^2)/((<C_OneActionDuration:1:ModHighActionID(1)>+<C_OneActionDuration:1:ModHighActionID(2)>+<C_OneActionDuration:1:ModHighActionID(15)>+<C_OneActionDuration:1:ModHighActionID(7)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(1)>/2))*(1+(<DR_Fight_GetValue:FireMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))],null]	null	null	null	null	null	null	[1]	null	LockedDesCollection_Hero
ModCardID(12001)	1	1	0	Ember		Ranged. Deal 8 Fire Damage. Has a 20% chance to apply Burn x2	ModCardNameAttackRanged1		ModCardnfoAttackRanged1Up	cards	cardFire	2	2	221	1	null	[]	null	null	null	GHT{"name":"Probability","values":["80","1","100"]}|[1001,0,1,221,[(0+<DR_Fight_GetValue:FireFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)+(8)*((<C_OneActionDuration:1:ModHighActionID(3)>+<C_OneActionDuration:1:ModHighActionID(6)>+<C_OneActionDuration:1:ModHighActionID(16)>+<C_OneActionDuration:1:ModHighActionID(18)>)^2)/((<C_OneActionDuration:1:ModHighActionID(1)>+<C_OneActionDuration:1:ModHighActionID(2)>+<C_OneActionDuration:1:ModHighActionID(15)>+<C_OneActionDuration:1:ModHighActionID(7)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(1)>/2))*(1+(<DR_Fight_GetValue:FireMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))],null&ModHighActionID(37),0,1,321,ModHighActionID(23)!2,null]|[1001,0,1,221,[(0+<DR_Fight_GetValue:FireFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)+(8)*((<C_OneActionDuration:1:ModHighActionID(3)>+<C_OneActionDuration:1:ModHighActionID(6)>+<C_OneActionDuration:1:ModHighActionID(16)>+<C_OneActionDuration:1:ModHighActionID(18)>)^2)/((<C_OneActionDuration:1:ModHighActionID(1)>+<C_OneActionDuration:1:ModHighActionID(2)>+<C_OneActionDuration:1:ModHighActionID(15)>+<C_OneActionDuration:1:ModHighActionID(7)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(1)>/2))*(1+(<DR_Fight_GetValue:FireMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))],null]	null	null	null	null	null	null	[1]	null	LockedDesCollection_Hero
