ID	¿ÉÓÃ°æ±¾	Ð§¹ûÃû³Æ	ÃèÊö	Í¼±êÃû³Æ	´¥·¢Ìõ¼þ£¨Ä¬ÈÏ´¥·¢1£©	Ëù´¥·¢µÄ»ù´¡Ð§¹û1(values¿É¸²¸Ç)	Ëù´¥·¢µÄ»ù´¡Ð§¹û2(values¿É¸²¸Ç)	BaseActionValues1(ÎÞÓÃ)	BaseActionValues2(ÎÞÓÃ)	Keywords	×÷ÓÃÊ±»ú	Ï÷ÈõÊ±»ú	ActionTarget	BuffTarget	´¥·¢´ÎÊý(¿É¸²¸Ç)	Buff³ÖÐøÊ±¼ä(¿É¸²¸Ç)	ÉÏBUFFÌØÐ§	Ô¤ÈÈÌØÐ§	Ô¤ÈÈÄ¿±êÎ»×Ó	TargetVfx	VfxType	ÐÐÎª¿ªÊ¼µÄÑÓ³Ù	ÐÐÎª¼ä¸ôµÄÑÓ³Ù	ÌØÐ§µ½Ð§¹ûµÄÑÓ³Ù	´¥·¢´ÎÊý(²»¿ÉÉèÖÃ)	Buff³ÖÐøÊ±¼ä(²»¿ÉÉèÖÃ)	currentWordActionValue(²»¿ÉÉèÖÃ))	SourceCard(²»¿ÉÉèÖÃ))
ModHighActionID(19)	1	GiveTwoTypesRandom	GiveTwoTypesRandom	buff_02	{"name":"GreaterThan","values":["<C_OneActionDuration:0:ModHighActionID(21)>","0"]}	[{"name":"TA_AddCondition","values":["ModHighActionID(20)","1"]}]	[{"name":"TA_AddCondition","values":["<D_RandomNumInValue:ModHighActionID(1):ModHighActionID(2):ModHighActionID(3):ModHighActionID(4):ModHighActionID(5):ModHighActionID(6):ModHighActionID(7):ModHighActionID(8):ModHighActionID(9):ModHighActionID(10):ModHighActionID(11):ModHighActionID(12):ModHighActionID(13):ModHighActionID(14):ModHighActionID(15):ModHighActionID(16):ModHighActionID(17):ModHighActionID(18)>","1"]},{"name":"TA_AddCondition","values":["<D_RandomNumInValue:ModHighActionID(1):ModHighActionID(2):ModHighActionID(3):ModHighActionID(4):ModHighActionID(5):ModHighActionID(6):ModHighActionID(7):ModHighActionID(8):ModHighActionID(9):ModHighActionID(10):ModHighActionID(11):ModHighActionID(12):ModHighActionID(13):ModHighActionID(14):ModHighActionID(15):ModHighActionID(16):ModHighActionID(17):ModHighActionID(18)>","1"]},{"name":"TA_AddCondition","values":["ModHighActionID(20)","1"]}]	null	null	["AK_Buff"]	EnemyInit	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(20)	1	RemoveExcessTyping	RemoveExcessTyping	buff_02	{"name":"null","values":[]}	[{"name":"TA_ConsumeBuff","values":["ModHighActionID(1)","[<C_OneActionDuration:0:ModHighActionID(1)>-1]"]},{"name":"TA_ConsumeBuff","values":["ModHighActionID(2)","[<C_OneActionDuration:0:ModHighActionID(2)>-1]"]},{"name":"TA_ConsumeBuff","values":["ModHighActionID(3)","[<C_OneActionDuration:0:ModHighActionID(3)>-1]"]},{"name":"TA_ConsumeBuff","values":["ModHighActionID(4)","[<C_OneActionDuration:0:ModHighActionID(4)>-1]"]},{"name":"TA_ConsumeBuff","values":["ModHighActionID(5)","[<C_OneActionDuration:0:ModHighActionID(5)>-1]"]},{"name":"TA_ConsumeBuff","values":["ModHighActionID(6)","[<C_OneActionDuration:0:ModHighActionID(6)>-1]"]},{"name":"TA_ConsumeBuff","values":["ModHighActionID(7)","[<C_OneActionDuration:0:ModHighActionID(7)>-1]"]},{"name":"TA_ConsumeBuff","values":["ModHighActionID(8)","[<C_OneActionDuration:0:ModHighActionID(8)>-1]"]},{"name":"TA_ConsumeBuff","values":["ModHighActionID(9)","[<C_OneActionDuration:0:ModHighActionID(9)>-1]"]},{"name":"TA_ConsumeBuff","values":["ModHighActionID(10)","[<C_OneActionDuration:0:ModHighActionID(10)>-1]"]},{"name":"TA_ConsumeBuff","values":["ModHighActionID(11)","[<C_OneActionDuration:0:ModHighActionID(11)>-1]"]},{"name":"TA_ConsumeBuff","values":["ModHighActionID(12)","[<C_OneActionDuration:0:ModHighActionID(12)>-1]"]},{"name":"TA_ConsumeBuff","values":["ModHighActionID(13)","[<C_OneActionDuration:0:ModHighActionID(13)>-1]"]},{"name":"TA_ConsumeBuff","values":["ModHighActionID(14)","[<C_OneActionDuration:0:ModHighActionID(14)>-1]"]},{"name":"TA_ConsumeBuff","values":["ModHighActionID(15)","[<C_OneActionDuration:0:ModHighActionID(15)>-1]"]},{"name":"TA_ConsumeBuff","values":["ModHighActionID(16)","[<C_OneActionDuration:0:ModHighActionID(16)>-1]"]},{"name":"TA_ConsumeBuff","values":["ModHighActionID(17)","[<C_OneActionDuration:0:ModHighActionID(17)>-1]"]},{"name":"TA_ConsumeBuff","values":["ModHighActionID(18)","[<C_OneActionDuration:0:ModHighActionID(18)>-1]"]}]	null	null	null	["AK_Buff"]	OpponentTurnStart	OpponentTurnStart	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(21)	1	TypeGiveImmunity	TypeGiveImmunity	buff_02	{"name":"null","values":[]}	null	null	null	null	["AK_Buff"]	None	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(22)	1	RemoveAllTyping	RemoveAllTyping	buff_02	{"name":"null","values":[]}	[{"name":"TA_RemoveBuff","values":["ModHighActionID(1)"]},{"name":"TA_RemoveBuff","values":["ModHighActionID(2)"]},{"name":"TA_RemoveBuff","values":["ModHighActionID(3)"]},{"name":"TA_RemoveBuff","values":["ModHighActionID(4)"]},{"name":"TA_RemoveBuff","values":["ModHighActionID(5)"]},{"name":"TA_RemoveBuff","values":["ModHighActionID(6)"]},{"name":"TA_RemoveBuff","values":["ModHighActionID(7)"]},{"name":"TA_RemoveBuff","values":["ModHighActionID(8)"]},{"name":"TA_RemoveBuff","values":["ModHighActionID(9)"]},{"name":"TA_RemoveBuff","values":["ModHighActionID(10)"]},{"name":"TA_RemoveBuff","values":["ModHighActionID(11)"]},{"name":"TA_RemoveBuff","values":["ModHighActionID(12)"]},{"name":"TA_RemoveBuff","values":["ModHighActionID(13)"]},{"name":"TA_RemoveBuff","values":["ModHighActionID(14)"]},{"name":"TA_RemoveBuff","values":["ModHighActionID(15)"]},{"name":"TA_RemoveBuff","values":["ModHighActionID(16)"]},{"name":"TA_RemoveBuff","values":["ModHighActionID(17)"]},{"name":"TA_RemoveBuff","values":["ModHighActionID(18)"]}]	null	null	null	[]	None	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(23)	1	EffectFrostbite	EffectDesc_Frostbite	statusFrostbite	{"name":"null","values":[]}	[{"name":"TB_AddArmorFactor","values":["-75"]}]	null	null	null	["AK_Buff","AK_TopBuff"]	Duration	SelfTurnEnd	0	0	1	1	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(24)	1	EffectFrostbiteDamage	EffectFrostbiteDamage	buff_02	{"name":"GreaterThan","values":["<C_OneActionDuration:0:ModHighActionID(23)>","0"]}	[{"name":"TB_LoseHealth","values":["[(<C_HealthCur:0>*0.125)]"]}]	null	null	null	["AK_Buff"]	SelfTurnStart	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(25)	1	EffectBurn	EffectDesc_Burn	statusBurn	{"name":"null","values":[]}	[{"name":"TB_AddAttackFactor","values":["[0-25]"]}]	null	null	null	["AK_Buff","AK_TopBuff"]	Duration	SelfTurnEnd	0	0	1	1	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(26)	1	EffectBurnDamage	EffectBurnDamage	buff_02	{"name":"GreaterThan","values":["<C_OneActionDuration:0:ModHighActionID(25)>","0"]}	[{"name":"TB_LoseHealth","values":["[(<C_HealthCur:0>*0.125)]"]}]	null	null	null	["AK_Buff"]	SelfTurnStart	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(27)	1	EffectPoison	EffectDesc_Poison	statusPoison	{"name":"Probability","values":["20","1","100"]}	[{"name":"TB_LoseHealth","values":["[(<C_OneActionDuration:0:ModHighActionID(27)>)]"]}]	[{"name":"TB_LoseHealth","values":["[(<C_OneActionDuration:0:ModHighActionID(27)>)]"]},{"name":"TA_AddCondition","values":["ModHighActionID(28)","1"]}]	null	null	["AK_Buff","AK_TopBuff"]	SelfTurnStart	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(28)	1	EffectPoisonClear	EffectPoisonClear20%	buff_02	{"name":"null","values":[]}	[{"name":"TA_RemoveBuff","values":["ModHighActionID(27)"]}]	null	null	null	["AK_Buff"]	SelfTurnEnd	SelfTurnEnd	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(29)	1	EffectBadPoison	EffectDesc_BadPoison	statusToxic	{"name":"Probability","values":["25","1","100"]}	[{"name":"TB_LoseHealth","values":["[(<C_OneActionDuration:0:ModHighActionID(29)>)]"]},{"name":"TA_AddCondition","values":["ModHighActionID(29)","<C_OneActionDuration:0:ModHighActionID(29)>"]}]	[{"name":"TB_LoseHealth","values":["[(<C_OneActionDuration:0:ModHighActionID(29)>)]"]},{"name":"TA_AddCondition","values":["ModHighActionID(30)","1"]}]	null	null	["AK_Buff","AK_TopBuff"]	SelfTurnStart	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(30)	1	EffectBadPoisonClear	EffectBadPoisonClear25%	buff_02	{"name":"null","values":[]}	[{"name":"TA_RemoveBuff","values":["ModHighActionID(29)"]}]	null	null	null	["AK_Buff"]	SelfTurnEnd	SelfTurnEnd	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(31)	1	EffectParalysis	EffectDesc_Paralysis	statusParalysis	{"name":"Probability","values":["75","1","100"]}	[{"name":"TA_AddKeyword","values":["AK_Miss"]}]	null	null	null	["AK_Buff","AK_TopBuff"]	Attack	SelfTurnEnd	0	0	1	1	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(32)	1	EffectParalysisLowerDamage	EffectParalysisLowerDamage	buff_02	{"name":"GreaterThan","values":["<C_OneActionDuration:0:ModHighActionID(31)>","0"]}	[{"name":"TB_AttackTemporary","values":["[0-<C_OneActionDuration:0:ModHighActionID(31)>]"]}]	[{"name":"TB_AttackTemporary","values":["[0]"]}]	null	null	["AK_Buff"]	Duration	None	0	321	1	1	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(33)	1	EffectSleepCrit	EffectDesc_Sleep	statusSleep	{"name":"null","values":[]}	[{"name":"TA_AddKeyword","values":["AK_Crit"]}]	null	null	null	["AK_Buff","AK_TopBuff"]	BeAttacked	BeAttacked	0	321	1	1	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(34)	1	EffectSleepHeal	EffectSleepHeal	buff_02	{"name":"GreaterThan","values":["<C_OneActionDuration:0:ModHighActionID(33)>","0"]}	[{"name":"TB_AddHealth","values":["[(<C_HealthMax:0>-<C_HealthCur:0>)*0.25]"]},{"name":"TA_ConsumeBuff","values":["ModHighActionID(33)","1"]}]	null	null	null	["AK_Buff"]	SelfTurnEnd	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(35)	1	EffectConfusion	EffectDesc_Confusion	statusConfusion	{"name":"Probability","values":["75","1","100"]}	[{"name":"TE_InsertAction","values":["ModHighActionID(36)"]}]	null	null	null	["AK_Buff","AK_TopBuff"]	SelfTurnStart	SelfTurnEnd	0	321	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(36)	1	EffectConfusedAttack	EffectConfusedAttack	buff_02	{"name":"null","values":[]}	[{"name":"TB_Damage_Melee","values":["[<C_HealthCur:0>*0.2]"]}]	null	null	null	[]	None	None	131	0	1	0	null	null	null	Melee/Melee_Kick	0	0	0.25	0	0	0	0	null
ModHighActionID(37)	1	GiveFrostbiteCheckIfIceType	GiveFrostbiteCheckIfIceType	buff_02	{"name":"EqualsThan","values":["<C_OneActionDuration:1:ModHighActionID(6)>","0"]}	[{"name":"TA_AddCondition","values":["ModHighActionID(23)","1"]}]	null	null	null	[]	None	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(38)	1	GiveBurnCheckIfFireType	GiveBurnCheckIfFireType	buff_02	{"name":"EqualsThan","values":["<C_OneActionDuration:1:ModHighActionID(1)>","0"]}	[{"name":"TA_AddCondition","values":["ModHighActionID(25)","1"]}]	null	null	null	[]	None	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(39)	1	GivePoisonCheckIfPoison/SteelType	GivePoisonCheckIfPoison/SteelType	buff_02	{"name":"EqualsThan","values":["[<C_OneActionDuration:1:ModHighActionID(13)>+<C_OneActionDuration:1:ModHighActionID(18)>]","0"]}	[{"name":"TA_AddCondition","values":["ModHighActionID(27)","1"]}]	null	null	null	[]	None	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(40)	1	GiveToxicCheckIfPoison/SteelType	GiveToxicCheckIfPoison/SteelType	buff_02	{"name":"EqualsThan","values":["[<C_OneActionDuration:1:ModHighActionID(13)>+<C_OneActionDuration:1:ModHighActionID(18)>]","0"]}	[{"name":"TA_AddCondition","values":["ModHighActionID(29)","1"]}]	null	null	null	[]	None	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(41)	1	GiveParalysisCheckIfElectricType	GiveParalysisCheckIfElectricType	buff_02	{"name":"EqualsThan","values":["<C_OneActionDuration:1:ModHighActionID(4)>","0"]}	[{"name":"TA_AddCondition","values":["ModHighActionID(31)","1"]}]	null	null	null	[]	None	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(42)	1	EffectLeechSeed	EffectLeechSeed	statusLeechSeed	{"name":"null","values":[]}	[{"name":"DR_Fight_UpdateData","values":["LeechHP","[(<C_HealthCur:0>*0.125)]"]},{"name":"TB_LoseHealth","values":["[(<DR_Fight_GetValue:LeechHP>)]"]},{"name":"TA_AddAction","values":["1006","0","1","213","<DR_Fight_GetValue:LeechHP>","null","null","null"]}]	null	null	null	["AK_Buff","AK_BottomBuff"]	SelfTurnStart	SelfTurnEnd	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(43)	1	GiveLeechSeedCheckIfGrassType	GiveLeechSeedCheckIfGrassType	buff_02	{"name":"EqualsThan","values":["<C_OneActionDuration:1:ModHighActionID(3)>","0"]}	[{"name":"TA_AddCondition","values":["ModHighActionID(42)","1"]}]	null	null	null	[]	None	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(44)	1	ApplyStatusFailIfTargetFireType	ApplyStatusFailIfTargetFireType	buff_02	{"name":"EqualsThan","values":["<C_OneActionDuration:1:ModHighActionID(1)>","0"]}	[{"name":"TA_AddCondition","values":["ModHighActionID(1)","1"]}]	null	null	null	[]	None	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(45)	1	ApplyStatusFailIfTargetWaterType	ApplyStatusFailIfTargetWaterType	buff_02	{"name":"EqualsThan","values":["<C_OneActionDuration:1:ModHighActionID(2)>","0"]}	[{"name":"TA_AddCondition","values":["ModHighActionID(1)","1"]}]	null	null	null	[]	None	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(46)	1	ApplyStatusFailIfTargetGrassType	ApplyStatusFailIfTargetGrassType	buff_02	{"name":"EqualsThan","values":["<C_OneActionDuration:1:ModHighActionID(3)>","0"]}	[{"name":"TA_AddCondition","values":["ModHighActionID(1)","1"]}]	null	null	null	[]	None	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(47)	1	ApplyStatusFailIfTargetElectricType	ApplyStatusFailIfTargetElectricType	buff_02	{"name":"EqualsThan","values":["<C_OneActionDuration:1:ModHighActionID(4)>","0"]}	[{"name":"TA_AddCondition","values":["ModHighActionID(1)","1"]}]	null	null	null	[]	None	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(48)	1	ApplyStatusFailIfTargetPsychicType	ApplyStatusFailIfTargetPsychicType	buff_02	{"name":"EqualsThan","values":["<C_OneActionDuration:1:ModHighActionID(5)>","0"]}	[{"name":"TA_AddCondition","values":["ModHighActionID(1)","1"]}]	null	null	null	[]	None	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(49)	1	ApplyStatusFailIfTargetIceType	ApplyStatusFailIfTargetIceType	buff_02	{"name":"EqualsThan","values":["<C_OneActionDuration:1:ModHighActionID(6)>","0"]}	[{"name":"TA_AddCondition","values":["ModHighActionID(1)","1"]}]	null	null	null	[]	None	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(50)	1	ApplyStatusFailIfTargetDragonType	ApplyStatusFailIfTargetDragonType	buff_02	{"name":"EqualsThan","values":["<C_OneActionDuration:1:ModHighActionID(7)>","0"]}	[{"name":"TA_AddCondition","values":["ModHighActionID(1)","1"]}]	null	null	null	[]	None	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(51)	1	ApplyStatusFailIfTargetDarkType	ApplyStatusFailIfTargetDarkType	buff_02	{"name":"EqualsThan","values":["<C_OneActionDuration:1:ModHighActionID(8)>","0"]}	[{"name":"TA_AddCondition","values":["ModHighActionID(1)","1"]}]	null	null	null	[]	None	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(52)	1	ApplyStatusFailIfTargetFairyType	ApplyStatusFailIfTargetFairyType	buff_02	{"name":"EqualsThan","values":["<C_OneActionDuration:1:ModHighActionID(9)>","0"]}	[{"name":"TA_AddCondition","values":["ModHighActionID(1)","1"]}]	null	null	null	[]	None	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(53)	1	ApplyStatusFailIfTargetNormalType	ApplyStatusFailIfTargetNormalType	buff_02	{"name":"EqualsThan","values":["<C_OneActionDuration:1:ModHighActionID(10)>","0"]}	[{"name":"TA_AddCondition","values":["ModHighActionID(1)","1"]}]	null	null	null	[]	None	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(54)	1	ApplyStatusFailIfTargetFightingType	ApplyStatusFailIfTargetFightingType	buff_02	{"name":"EqualsThan","values":["<C_OneActionDuration:1:ModHighActionID(11)>","0"]}	[{"name":"TA_AddCondition","values":["ModHighActionID(1)","1"]}]	null	null	null	[]	None	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(55)	1	ApplyStatusFailIfTargetFlyingType	ApplyStatusFailIfTargetFlyingType	buff_02	{"name":"EqualsThan","values":["<C_OneActionDuration:1:ModHighActionID(12)>","0"]}	[{"name":"TA_AddCondition","values":["ModHighActionID(1)","1"]}]	null	null	null	[]	None	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(56)	1	ApplyStatusFailIfTargetPoisonType	ApplyStatusFailIfTargetPoisonType	buff_02	{"name":"EqualsThan","values":["<C_OneActionDuration:1:ModHighActionID(13)>","0"]}	[{"name":"TA_AddCondition","values":["ModHighActionID(1)","1"]}]	null	null	null	[]	None	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(57)	1	ApplyStatusFailIfTargetGroundType	ApplyStatusFailIfTargetGroundType	buff_02	{"name":"EqualsThan","values":["<C_OneActionDuration:1:ModHighActionID(14)>","0"]}	[{"name":"TA_AddCondition","values":["ModHighActionID(1)","1"]}]	null	null	null	[]	None	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(58)	1	ApplyStatusFailIfTargetRockType	ApplyStatusFailIfTargetRockType	buff_02	{"name":"EqualsThan","values":["<C_OneActionDuration:1:ModHighActionID(15)>","0"]}	[{"name":"TA_AddCondition","values":["ModHighActionID(1)","1"]}]	null	null	null	[]	None	None	0	0	1	0	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(59)	1	ApplyStatusFailIfTargetBugType	ApplyStatusFailIfTargetBugType	buff_02	{"name":"EqualsThan","values":["<C_OneActionDuration:1:ModHighActionID(16)>","0"]}	[{"name":"TA_AddCondition","values":["ModHighActionID(1)","1"]}]	null	null	null	[]	None	None	0	0	1	1	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(60)	1	ApplyStatusFailIfTargetGhostType	ApplyStatusFailIfTargetGhostType	buff_02	{"name":"EqualsThan","values":["<C_OneActionDuration:1:ModHighActionID(17)>","0"]}	[{"name":"TA_AddCondition","values":["ModHighActionID(1)","1"]}]	null	null	null	[]	None	None	0	0	1	1	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(61)	1	ApplyStatusFailIfTargetSteelType	ApplyStatusFailIfTargetSteelType	buff_02	{"name":"EqualsThan","values":["<C_OneActionDuration:1:ModHighActionID(18)>","0"]}	[{"name":"TA_AddCondition","values":["ModHighActionID(1)","1"]}]	null	null	null	[]	None	None	0	0	1	1	null	null	null	null	0	0	0	0	0	0	0	null
ModHighActionID(62)	1	Recoil25%	Recoil25%	buff_02	{"name":"null","values":[]}	[{"name":"TB_Damage_Extra","values":["[<A_TriggerActionWorkValue:0>*0.25]"]}]	null	null	null	["AK_Buff"]	AttackAfter	AttackAfter	0	0	1	1	null	null	null	Melee/Melee_Kick	0	0	0	0	0	0	0	null
