ID	可用版本	可用平台	升级后的ID（大于10000的数）	卡牌名称备注	卡牌简述备注	卡牌描述备注	卡牌名称	卡牌简述	卡牌描述	卡牌图集名称	卡牌图片名称	卡牌类型	卡牌作用对象类型	卡牌最大作用对象数量	卡牌所用子弹	使用条件	特性	获取事件	移除事件	抽到事件	使用效果	丢弃事件事件	消耗事件	回合结束自动弃牌事件	加入手牌事件	离开手牌事件	卡牌所携带的buff信息	融合标签	复制时的特殊值	卡牌解锁信息
ModCardID(1002)	1	1	ModCardID(11002)	Low Kick		Melee. Deal 5 Fighting Damage. Critical Hit on Heavy enemies.	ModCardNameAttackMelee2		ModCardInfoAttackMelee2	cards	cardFighting	1	1	211	0	null	[]	null	null	null	GHT{"name":"GreaterThan","values":["<C_OneActionDuration:1:2227>","0"]}|[1010,0,1,211,[((0+<DR_Fight_GetValue:FightingFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)*(1-<C_OneActionDuration:1:ModHighActionID(17)>))+(5)*((<C_OneActionDuration:1:ModHighActionID(10)>+<C_OneActionDuration:1:ModHighActionID(15)>+<C_OneActionDuration:1:ModHighActionID(6)>+<C_OneActionDuration:1:ModHighActionID(18)>+<C_OneActionDuration:1:ModHighActionID(8)>)^2)/((<C_OneActionDuration:1:ModHighActionID(12)>+<C_OneActionDuration:1:ModHighActionID(13)>+<C_OneActionDuration:1:ModHighActionID(16)>+<C_OneActionDuration:1:ModHighActionID(5)>+<C_OneActionDuration:1:ModHighActionID(9)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(11)>/2))*(1+(<DR_Fight_GetValue:FightingMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))*(1-<C_OneActionDuration:1:ModHighActionID(17)>)],null,null,Melee/Melee_Kick]|[1002,0,1,211,[((0+<DR_Fight_GetValue:FightingFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)*(1-<C_OneActionDuration:1:ModHighActionID(17)>))+(5)*((<C_OneActionDuration:1:ModHighActionID(10)>+<C_OneActionDuration:1:ModHighActionID(15)>+<C_OneActionDuration:1:ModHighActionID(6)>+<C_OneActionDuration:1:ModHighActionID(18)>+<C_OneActionDuration:1:ModHighActionID(8)>)^2)/((<C_OneActionDuration:1:ModHighActionID(12)>+<C_OneActionDuration:1:ModHighActionID(13)>+<C_OneActionDuration:1:ModHighActionID(16)>+<C_OneActionDuration:1:ModHighActionID(5)>+<C_OneActionDuration:1:ModHighActionID(9)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(11)>/2))*(1+(<DR_Fight_GetValue:FightingMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))*(1-<C_OneActionDuration:1:ModHighActionID(17)>)],null,null,Melee/Melee_Kick]	null	null	null	null	null	null	[1]	null	LockedDesCollection_Hero
ModCardID(11002)	1	1	0	Low Kick		Melee. Deal 7 Fighting Damage. Critical Hit on Heavy enemies.	ModCardNameAttackMelee2		ModCardInfoAttackMelee2Up	cards	cardFighting	1	1	211	0	null	[]	null	null	null	GHT{"name":"GreaterThan","values":["<C_OneActionDuration:1:2227>","0"]}|[1010,0,1,211,[((0+<DR_Fight_GetValue:FightingFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)*(1-<C_OneActionDuration:1:ModHighActionID(17)>))+(7)*((<C_OneActionDuration:1:ModHighActionID(10)>+<C_OneActionDuration:1:ModHighActionID(15)>+<C_OneActionDuration:1:ModHighActionID(6)>+<C_OneActionDuration:1:ModHighActionID(18)>+<C_OneActionDuration:1:ModHighActionID(8)>)^2)/((<C_OneActionDuration:1:ModHighActionID(12)>+<C_OneActionDuration:1:ModHighActionID(13)>+<C_OneActionDuration:1:ModHighActionID(16)>+<C_OneActionDuration:1:ModHighActionID(5)>+<C_OneActionDuration:1:ModHighActionID(9)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(11)>/2))*(1+(<DR_Fight_GetValue:FightingMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))*(1-<C_OneActionDuration:1:ModHighActionID(17)>)],null,null,Melee/Melee_Kick]|[1002,0,1,211,[((0+<DR_Fight_GetValue:FightingFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)*(1-<C_OneActionDuration:1:ModHighActionID(17)>))+(7)*((<C_OneActionDuration:1:ModHighActionID(10)>+<C_OneActionDuration:1:ModHighActionID(15)>+<C_OneActionDuration:1:ModHighActionID(6)>+<C_OneActionDuration:1:ModHighActionID(18)>+<C_OneActionDuration:1:ModHighActionID(8)>)^2)/((<C_OneActionDuration:1:ModHighActionID(12)>+<C_OneActionDuration:1:ModHighActionID(13)>+<C_OneActionDuration:1:ModHighActionID(16)>+<C_OneActionDuration:1:ModHighActionID(5)>+<C_OneActionDuration:1:ModHighActionID(9)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(11)>/2))*(1+(<DR_Fight_GetValue:FightingMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))*(1-<C_OneActionDuration:1:ModHighActionID(17)>)],null,null,Melee/Melee_Kick]	null	null	null	null	null	null	[1]	null	LockedDesCollection_Hero
ModCardID(1003)	1	1	ModCardID(11003)	Double Edge		Melee. Deal 12 Normal Damage. 25% Recoil	ModCardNameAttackMelee3		ModCardInfoAttackMelee3	cards	cardNormal	1	1	211	0	null	[]	null	null	null	GHT{"name":"null","values":[]}|[ModHighActionID(62),1,1,0,null,null,0&1002,0,1,211,[((0+<DR_Fight_GetValue:NormalFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)*(1-<C_OneActionDuration:1:ModHighActionID(17)>))+(12)/((<C_OneActionDuration:1:ModHighActionID(15)>+<C_OneActionDuration:1:ModHighActionID(18)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(10)>/2))*(1+(<DR_Fight_GetValue:NormalMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))*(1-<C_OneActionDuration:1:ModHighActionID(17)>)],null,null,Melee/Melee_Kick]	null	null	null	null	null	null	[1]	null	LockedDesCollection_Hero
ModCardID(11003)	1	1	0	Double Edge		Melee. Deal 15 Normal Damage. 25% Recoil	ModCardNameAttackMelee3		ModCardInfoAttackMelee3Up	cards	cardNormal	1	1	211	0	null	[]	null	null	null	GHT{"name":"null","values":[]}|[ModHighActionID(62),1,1,0,null,null,0&1002,0,1,211,[((0+<DR_Fight_GetValue:NormalFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)*(1-<C_OneActionDuration:1:ModHighActionID(17)>))+(15)/((<C_OneActionDuration:1:ModHighActionID(15)>+<C_OneActionDuration:1:ModHighActionID(18)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(10)>/2))*(1+(<DR_Fight_GetValue:NormalMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))*(1-<C_OneActionDuration:1:ModHighActionID(17)>)],null,null,Melee/Melee_Kick]	null	null	null	null	null	null	[1]	null	LockedDesCollection_Hero
ModCardID(1004)	1	1	ModCardID(11004)	Mud Slap		Melee. Deal 4 Ground Damage. Applies Blind x1	ModCardNameAttackMelee4		ModCardInfoAttackMelee4	cards	cardGround	1	1	211	0	null	[]	null	null	null	GHT{"name":"null","values":[]}|[1002,0,1,211,[((0+<DR_Fight_GetValue:GroundFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)*(1-<C_OneActionDuration:1:ModHighActionID(12)>))+(4)*((<C_OneActionDuration:1:ModHighActionID(13)>+<C_OneActionDuration:1:ModHighActionID(15)>+<C_OneActionDuration:1:ModHighActionID(1)>+<C_OneActionDuration:1:ModHighActionID(4)>+<C_OneActionDuration:1:ModHighActionID(18)>)^2)/((<C_OneActionDuration:1:ModHighActionID(3)>+<C_OneActionDuration:1:ModHighActionID(16)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(14)>/2))*(1+(<DR_Fight_GetValue:GroundMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))*(1-<C_OneActionDuration:1:ModHighActionID(12)>)],null,null,Melee/Melee_Kick&ModHighActionID(55),0,1,321,3007!1,null]	null	null	null	null	null	null	[1]	null	LockedDesCollection_Hero
ModCardID(11004)	1	1	0	Mud Slap		Melee. Deal 6 Ground Damage. Applies Blind x2	ModCardNameAttackMelee4		ModCardInfoAttackMelee4Up	cards	cardGround	1	1	211	0	null	[]	null	null	null	GHT{"name":"null","values":[]}|[1002,0,1,211,[((0+<DR_Fight_GetValue:GroundFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)*(1-<C_OneActionDuration:1:ModHighActionID(12)>))+(6)*((<C_OneActionDuration:1:ModHighActionID(13)>+<C_OneActionDuration:1:ModHighActionID(15)>+<C_OneActionDuration:1:ModHighActionID(1)>+<C_OneActionDuration:1:ModHighActionID(4)>+<C_OneActionDuration:1:ModHighActionID(18)>)^2)/((<C_OneActionDuration:1:ModHighActionID(3)>+<C_OneActionDuration:1:ModHighActionID(16)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(14)>/2))*(1+(<DR_Fight_GetValue:GroundMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))*(1-<C_OneActionDuration:1:ModHighActionID(12)>)],null,null,Melee/Melee_Kick&ModHighActionID(55),0,1,321,3007!2,null]	null	null	null	null	null	null	[1]	null	LockedDesCollection_Hero
ModCardID(1005)	1	1	ModCardID(11005)	Acrobatics		Melee. Deal 4 Flying Damage. Deals +1 Damage per empty Relic slot.	ModCardNameAttackMelee5		ModCardInfoAttackMelee5	cards	cardFlying	1	1	221	0	null	[]	null	null	null	GHT{"name":"null","values":[]}|[1002,0,1,211,[(0+<DR_Fight_GetValue:FlyingFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)+(4+[<RelicsMax>-<RelicsCount>])*((<C_OneActionDuration:1:ModHighActionID(3)>+<C_OneActionDuration:1:ModHighActionID(11)>+<C_OneActionDuration:1:ModHighActionID(16)>)^2)/((<C_OneActionDuration:1:ModHighActionID(18)>+<C_OneActionDuration:1:ModHighActionID(4)>+<C_OneActionDuration:1:ModHighActionID(15)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(12)>/2))*(1+(<DR_Fight_GetValue:FlyingMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))],null,null,Melee/Melee_Kick]	null	null	null	null	null	null	[1]	null	LockedDesCollection_Hero
ModCardID(11005)	1	1	0	Acrobatics		Melee. Deal 6 Flying Damage. Deals +2 Damage per empty Relic slot.	ModCardNameAttackMelee5		ModCardInfoAttackMelee5Up	cards	cardFlying	1	1	221	0	null	[]	null	null	null	GHT{"name":"null","values":[]}|[1002,0,1,211,[(0+<DR_Fight_GetValue:FlyingFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)+(6+(2*[<RelicsMax>-<RelicsCount>]))*((<C_OneActionDuration:1:ModHighActionID(3)>+<C_OneActionDuration:1:ModHighActionID(11)>+<C_OneActionDuration:1:ModHighActionID(16)>)^2)/((<C_OneActionDuration:1:ModHighActionID(18)>+<C_OneActionDuration:1:ModHighActionID(4)>+<C_OneActionDuration:1:ModHighActionID(15)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(12)>/2))*(1+(<DR_Fight_GetValue:FlyingMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))],null,null,Melee/Melee_Kick]	null	null	null	null	null	null	[1]	null	LockedDesCollection_Hero
ModCardID(1006)	1	1	ModCardID(11006)	Smack Down		Melee. Deal 5 Rock Damage. If the target is a Flying Type, they lose their Flying Type for the rest of battle.	ModCardNameAttackMelee6		ModCardInfoAttackMelee6	cards	cardRock	1	1	211	0	null	[]	null	null	null	GHT{"name":"GreaterThan","values":["<C_OneActionDuration:1:ModHighActionID(12)>","0"]}|[1002,0,1,211,[(0+<DR_Fight_GetValue:RockFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)+(5)*((<C_OneActionDuration:1:ModHighActionID(12)>+<C_OneActionDuration:1:ModHighActionID(16)>+<C_OneActionDuration:1:ModHighActionID(1)>+<C_OneActionDuration:1:ModHighActionID(6)>)^2)/((<C_OneActionDuration:1:ModHighActionID(11)>+<C_OneActionDuration:1:ModHighActionID(14)>+<C_OneActionDuration:1:ModHighActionID(18)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(15)>/2))*(1+(<DR_Fight_GetValue:RockMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))],null&ModHighActionID(136),0,1,211,ModHighActionID(12)!1,null]|[1002,0,1,211,[(0+<DR_Fight_GetValue:RockFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)+(5)*((<C_OneActionDuration:1:ModHighActionID(12)>+<C_OneActionDuration:1:ModHighActionID(16)>+<C_OneActionDuration:1:ModHighActionID(1)>+<C_OneActionDuration:1:ModHighActionID(6)>)^2)/((<C_OneActionDuration:1:ModHighActionID(11)>+<C_OneActionDuration:1:ModHighActionID(14)>+<C_OneActionDuration:1:ModHighActionID(18)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(15)>/2))*(1+(<DR_Fight_GetValue:RockMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))],null]	null	null	null	null	null	null	[1]	null	LockedDesCollection_Hero
ModCardID(11006)	1	1	0	Smack Down		Melee. Deal 8 Rock Damage. If the target is a Flying Type, they lose their Flying Type for the rest of battle.	ModCardNameAttackMelee6		ModCardInfoAttackMelee6Up	cards	cardRock	1	1	211	0	null	[]	null	null	null	GHT{"name":"GreaterThan","values":["<C_OneActionDuration:1:ModHighActionID(12)>","0"]}|[1002,0,1,211,[(0+<DR_Fight_GetValue:RockFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)+(8)*((<C_OneActionDuration:1:ModHighActionID(12)>+<C_OneActionDuration:1:ModHighActionID(16)>+<C_OneActionDuration:1:ModHighActionID(1)>+<C_OneActionDuration:1:ModHighActionID(6)>)^2)/((<C_OneActionDuration:1:ModHighActionID(11)>+<C_OneActionDuration:1:ModHighActionID(14)>+<C_OneActionDuration:1:ModHighActionID(18)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(15)>/2))*(1+(<DR_Fight_GetValue:RockMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))],null&ModHighActionID(136),0,1,211,ModHighActionID(12)!1,null]|[1002,0,1,211,[(0+<DR_Fight_GetValue:RockFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)+(8)*((<C_OneActionDuration:1:ModHighActionID(12)>+<C_OneActionDuration:1:ModHighActionID(16)>+<C_OneActionDuration:1:ModHighActionID(1)>+<C_OneActionDuration:1:ModHighActionID(6)>)^2)/((<C_OneActionDuration:1:ModHighActionID(11)>+<C_OneActionDuration:1:ModHighActionID(14)>+<C_OneActionDuration:1:ModHighActionID(18)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(15)>/2))*(1+(<DR_Fight_GetValue:RockMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))],null]	null	null	null	null	null	null	[1]	null	LockedDesCollection_Hero
ModCardID(1007)	1	1	ModCardID(11007)	Thief		Melee. Deal 6 Dark Damage. Steal 5 Coins from the enemy if they have not been hit by Thief or have more than 15 HP.	ModCardNameAttackMelee7		ModCardInfoAttackMelee7	cards	cardDark	1	1	211	0	null	[]	null	null	null	GHT{"name":"GreaterThan","values":["[<C_HealthCur:1>-(<C_OneActionDuration:1:ModHighActionID(137)>*999)]","15"]}|[1002,0,1,211,[(0+<DR_Fight_GetValue:DarkFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)+(6)*((<C_OneActionDuration:1:ModHighActionID(17)>+<C_OneActionDuration:1:ModHighActionID(5)>)^2)/((<C_OneActionDuration:1:ModHighActionID(11)>+<C_OneActionDuration:1:ModHighActionID(8)>+<C_OneActionDuration:1:ModHighActionID(9)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(8)>/2))*(1+(<DR_Fight_GetValue:DarkMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))],null,null,Melee/Melee_Kick&1524,0,1,0,5,null&ModHighActionID(137),1,1,1,null,null,0]|[1002,0,1,211,[(0+<DR_Fight_GetValue:DarkFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)+(6)*((<C_OneActionDuration:1:ModHighActionID(17)>+<C_OneActionDuration:1:ModHighActionID(5)>)^2)/((<C_OneActionDuration:1:ModHighActionID(11)>+<C_OneActionDuration:1:ModHighActionID(8)>+<C_OneActionDuration:1:ModHighActionID(9)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(8)>/2))*(1+(<DR_Fight_GetValue:DarkMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))],null,null,Melee/Melee_Kick]	null	null	null	null	null	null	[1]	null	LockedDesCollection_Hero
ModCardID(11007)	1	1	0	Thief		Melee. Deal 8 Dark Damage. Steal 7 Coins from the enemy if they have not been hit by Thief or have more than 15 HP.	ModCardNameAttackMelee7		ModCardInfoAttackMelee7Up	cards	cardDark	1	1	211	0	null	[]	null	null	null	GHT{"name":"GreaterThan","values":["[<C_HealthCur:1>-(<C_OneActionDuration:1:ModHighActionID(137)>*999)]","15"]}|[1002,0,1,211,[(0+<DR_Fight_GetValue:DarkFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)+(8)*((<C_OneActionDuration:1:ModHighActionID(17)>+<C_OneActionDuration:1:ModHighActionID(5)>)^2)/((<C_OneActionDuration:1:ModHighActionID(11)>+<C_OneActionDuration:1:ModHighActionID(8)>+<C_OneActionDuration:1:ModHighActionID(9)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(8)>/2))*(1+(<DR_Fight_GetValue:DarkMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))],null,null,Melee/Melee_Kick&1524,0,1,0,7,null&ModHighActionID(137),1,1,1,null,null,0]|[1002,0,1,211,[(0+<DR_Fight_GetValue:DarkFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)+(8)*((<C_OneActionDuration:1:ModHighActionID(17)>+<C_OneActionDuration:1:ModHighActionID(5)>)^2)/((<C_OneActionDuration:1:ModHighActionID(11)>+<C_OneActionDuration:1:ModHighActionID(8)>+<C_OneActionDuration:1:ModHighActionID(9)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(8)>/2))*(1+(<DR_Fight_GetValue:DarkMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))],null,null,Melee/Melee_Kick]	null	null	null	null	null	null	[1]	null	LockedDesCollection_Hero
ModCardID(1008)	1	1	ModCardID(11008)	Payback		Melee. Deal 5 Dark Damage. If you have lost HP this turn, deal 10 Dark Damage instead.	ModCardNameAttackMelee8		ModCardInfoAttackMelee8	cards	cardDark	1	1	211	0	null	[]	null	null	null	GHT{"name":"GreaterThan","values":["<DR_Fight_GetValue:TookDamageTurn>","0"]}|[1002,0,1,211,[(0+<DR_Fight_GetValue:DarkFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)+(10)*((<C_OneActionDuration:1:ModHighActionID(17)>+<C_OneActionDuration:1:ModHighActionID(5)>)^2)/((<C_OneActionDuration:1:ModHighActionID(11)>+<C_OneActionDuration:1:ModHighActionID(8)>+<C_OneActionDuration:1:ModHighActionID(9)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(8)>/2))*(1+(<DR_Fight_GetValue:DarkMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))],null,null,Melee/Melee_Kick]|[1002,0,1,211,[(0+<DR_Fight_GetValue:DarkFlatDamageBoost>+<DR_Fight_GetValue:GenericFlatDamageBoost>)+(5)*((<C_OneActionDuration:1:ModHighActionID(17)>+<C_OneActionDuration:1:ModHighActionID(5)>)^2)/((<C_OneActionDuration:1:ModHighActionID(11)>+<C_OneActionDuration:1:ModHighActionID(8)>+<C_OneActionDuration:1:ModHighActionID(9)>)^2)*(1+(<C_OneActionDuration:0:ModHighActionID(8)>/2))*(1+(<DR_Fight_GetValue:DarkMultDamageBoost>/20)+(<DR_Fight_GetValue:GenericMultDamageBoost>/20))],null,null,Melee/Melee_Kick]	null	null	null	GHT{"name":"null","values":[]}|[ModHighActionID(138),1,1,0,null,null]	GHT{"name":"null","values":[]}|[1056,0,1,1,ModHighActionID(138),null&1057,0,1,0,TookDamageTurn![0-<DR_Fight_GetValue:TookDamageTurn>],null]	null	[1]	null	LockedDesCollection_Hero
