ID	可用版本	可用平台	Image	名字备注	描述备注	名字	描述	稀有度	掉率	怪物掉落	事件掉落	商店掉落	获得时触发的效果	失去时触发的效果	效果	效果	非战斗持续性效果	修理效果	全局buff	购买价格	售出价格	修理价格	能否移除	是否解锁	判定	可用的世界	类别筛选(1.通用 2.地图二 3.世界三)	关键字	触发优先级（有小到大，最小为 1，）
ModRelicID(109)	1	1	Relic_FairyPlate	Relic_FairyPlate		null	RelicDesc_FairyPlate	1	5	0	0	0	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","1"]}]}]	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","0"]}]}]	GHS[ModHighActionID(22),0,1,0,null&ModHighActionID(9),1,1,0,null&1057,0,1,0,FairyFlatDamageBoost!1,null]	null	null	null	null	100	40	0	1	1	{"name":"LessThan","values":["[<TargetRelicsNum:ModRelicID(101)>+<TargetRelicsNum:ModRelicID(102)>+<TargetRelicsNum:ModRelicID(103)>+<TargetRelicsNum:ModRelicID(104)>+<TargetRelicsNum:ModRelicID(105)>+<TargetRelicsNum:ModRelicID(106)>+<TargetRelicsNum:ModRelicID(107)>+<TargetRelicsNum:ModRelicID(108)>+<TargetRelicsNum:ModRelicID(109)>+<TargetRelicsNum:ModRelicID(110)>+<TargetRelicsNum:ModRelicID(111)>+<TargetRelicsNum:ModRelicID(112)>+<TargetRelicsNum:ModRelicID(113)>+<TargetRelicsNum:ModRelicID(114)>+<TargetRelicsNum:ModRelicID(115)>+<TargetRelicsNum:ModRelicID(116)>+<TargetRelicsNum:ModRelicID(117)>+<TargetRelicsNum:ModRelicID(118)>+(<TargetRelicsNum:ModRelicID(10001)>*2)]","2"]}	[1,2,3,4,5,6,91,92]	0	["1"]	1
ModRelicID(110)	1	1	Relic_NormalPlate	Relic_NormalPlate		null	RelicDesc_NormalPlate	1	5	0	0	0	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","1"]}]}]	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","0"]}]}]	GHS[ModHighActionID(22),0,1,0,null&ModHighActionID(10),1,1,0,null&1057,0,1,0,NormalFlatDamageBoost!1,null]	null	null	null	null	100	40	0	1	1	{"name":"LessThan","values":["[<TargetRelicsNum:ModRelicID(101)>+<TargetRelicsNum:ModRelicID(102)>+<TargetRelicsNum:ModRelicID(103)>+<TargetRelicsNum:ModRelicID(104)>+<TargetRelicsNum:ModRelicID(105)>+<TargetRelicsNum:ModRelicID(106)>+<TargetRelicsNum:ModRelicID(107)>+<TargetRelicsNum:ModRelicID(108)>+<TargetRelicsNum:ModRelicID(109)>+<TargetRelicsNum:ModRelicID(110)>+<TargetRelicsNum:ModRelicID(111)>+<TargetRelicsNum:ModRelicID(112)>+<TargetRelicsNum:ModRelicID(113)>+<TargetRelicsNum:ModRelicID(114)>+<TargetRelicsNum:ModRelicID(115)>+<TargetRelicsNum:ModRelicID(116)>+<TargetRelicsNum:ModRelicID(117)>+<TargetRelicsNum:ModRelicID(118)>+(<TargetRelicsNum:ModRelicID(10001)>*2)]","2"]}	[1,2,3,4,5,6,91,92]	0	["1"]	1
ModRelicID(111)	1	1	Relic_FightingPlate	Relic_FightingPlate		null	RelicDesc_FightingPlate	1	5	0	0	0	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","1"]}]}]	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","0"]}]}]	GHS[ModHighActionID(22),0,1,0,null&ModHighActionID(11),1,1,0,null&1057,0,1,0,FightingFlatDamageBoost!1,null]	null	null	null	null	100	40	0	1	1	{"name":"LessThan","values":["[<TargetRelicsNum:ModRelicID(101)>+<TargetRelicsNum:ModRelicID(102)>+<TargetRelicsNum:ModRelicID(103)>+<TargetRelicsNum:ModRelicID(104)>+<TargetRelicsNum:ModRelicID(105)>+<TargetRelicsNum:ModRelicID(106)>+<TargetRelicsNum:ModRelicID(107)>+<TargetRelicsNum:ModRelicID(108)>+<TargetRelicsNum:ModRelicID(109)>+<TargetRelicsNum:ModRelicID(110)>+<TargetRelicsNum:ModRelicID(111)>+<TargetRelicsNum:ModRelicID(112)>+<TargetRelicsNum:ModRelicID(113)>+<TargetRelicsNum:ModRelicID(114)>+<TargetRelicsNum:ModRelicID(115)>+<TargetRelicsNum:ModRelicID(116)>+<TargetRelicsNum:ModRelicID(117)>+<TargetRelicsNum:ModRelicID(118)>+(<TargetRelicsNum:ModRelicID(10001)>*2)]","2"]}	[1,2,3,4,5,6,91,92]	0	["1"]	1
ModRelicID(112)	1	1	Relic_FlyingPlate	Relic_FlyingPlate		null	RelicDesc_FlyingPlate	1	5	0	0	0	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","1"]}]}]	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","0"]}]}]	GHS[ModHighActionID(22),0,1,0,null&ModHighActionID(12),1,1,0,null&1057,0,1,0,FlyingFlatDamageBoost!1,null]	null	null	null	null	100	40	0	1	1	{"name":"LessThan","values":["[<TargetRelicsNum:ModRelicID(101)>+<TargetRelicsNum:ModRelicID(102)>+<TargetRelicsNum:ModRelicID(103)>+<TargetRelicsNum:ModRelicID(104)>+<TargetRelicsNum:ModRelicID(105)>+<TargetRelicsNum:ModRelicID(106)>+<TargetRelicsNum:ModRelicID(107)>+<TargetRelicsNum:ModRelicID(108)>+<TargetRelicsNum:ModRelicID(109)>+<TargetRelicsNum:ModRelicID(110)>+<TargetRelicsNum:ModRelicID(111)>+<TargetRelicsNum:ModRelicID(112)>+<TargetRelicsNum:ModRelicID(113)>+<TargetRelicsNum:ModRelicID(114)>+<TargetRelicsNum:ModRelicID(115)>+<TargetRelicsNum:ModRelicID(116)>+<TargetRelicsNum:ModRelicID(117)>+<TargetRelicsNum:ModRelicID(118)>+(<TargetRelicsNum:ModRelicID(10001)>*2)]","2"]}	[1,2,3,4,5,6,91,92]	0	["1"]	1
ModRelicID(113)	1	1	Relic_PoisonPlate	Relic_PoisonPlate		null	RelicDesc_PoisonPlate	1	5	0	0	0	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","1"]}]}]	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","0"]}]}]	GHS[ModHighActionID(22),0,1,0,null&ModHighActionID(13),1,1,0,null&1057,0,1,0,PoisonFlatDamageBoost!1,null]	null	null	null	null	100	40	0	1	1	{"name":"LessThan","values":["[<TargetRelicsNum:ModRelicID(101)>+<TargetRelicsNum:ModRelicID(102)>+<TargetRelicsNum:ModRelicID(103)>+<TargetRelicsNum:ModRelicID(104)>+<TargetRelicsNum:ModRelicID(105)>+<TargetRelicsNum:ModRelicID(106)>+<TargetRelicsNum:ModRelicID(107)>+<TargetRelicsNum:ModRelicID(108)>+<TargetRelicsNum:ModRelicID(109)>+<TargetRelicsNum:ModRelicID(110)>+<TargetRelicsNum:ModRelicID(111)>+<TargetRelicsNum:ModRelicID(112)>+<TargetRelicsNum:ModRelicID(113)>+<TargetRelicsNum:ModRelicID(114)>+<TargetRelicsNum:ModRelicID(115)>+<TargetRelicsNum:ModRelicID(116)>+<TargetRelicsNum:ModRelicID(117)>+<TargetRelicsNum:ModRelicID(118)>+(<TargetRelicsNum:ModRelicID(10001)>*2)]","2"]}	[1,2,3,4,5,6,91,92]	0	["1"]	1
ModRelicID(114)	1	1	Relic_GroundPlate	Relic_GroundPlate		null	RelicDesc_GroundPlate	1	5	0	0	0	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","1"]}]}]	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","0"]}]}]	GHS[ModHighActionID(22),0,1,0,null&ModHighActionID(14),1,1,0,null&1057,0,1,0,GroundFlatDamageBoost!1,null]	null	null	null	null	100	40	0	1	1	{"name":"LessThan","values":["[<TargetRelicsNum:ModRelicID(101)>+<TargetRelicsNum:ModRelicID(102)>+<TargetRelicsNum:ModRelicID(103)>+<TargetRelicsNum:ModRelicID(104)>+<TargetRelicsNum:ModRelicID(105)>+<TargetRelicsNum:ModRelicID(106)>+<TargetRelicsNum:ModRelicID(107)>+<TargetRelicsNum:ModRelicID(108)>+<TargetRelicsNum:ModRelicID(109)>+<TargetRelicsNum:ModRelicID(110)>+<TargetRelicsNum:ModRelicID(111)>+<TargetRelicsNum:ModRelicID(112)>+<TargetRelicsNum:ModRelicID(113)>+<TargetRelicsNum:ModRelicID(114)>+<TargetRelicsNum:ModRelicID(115)>+<TargetRelicsNum:ModRelicID(116)>+<TargetRelicsNum:ModRelicID(117)>+<TargetRelicsNum:ModRelicID(118)>+(<TargetRelicsNum:ModRelicID(10001)>*2)]","2"]}	[1,2,3,4,5,6,91,92]	0	["1"]	1
ModRelicID(115)	1	1	Relic_RockPlate	Relic_RockPlate		null	RelicDesc_RockPlate	1	5	0	0	0	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","1"]}]}]	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","0"]}]}]	GHS[ModHighActionID(22),0,1,0,null&ModHighActionID(15),1,1,0,null&1057,0,1,0,RockFlatDamageBoost!1,null]	null	null	null	null	100	40	0	1	1	{"name":"LessThan","values":["[<TargetRelicsNum:ModRelicID(101)>+<TargetRelicsNum:ModRelicID(102)>+<TargetRelicsNum:ModRelicID(103)>+<TargetRelicsNum:ModRelicID(104)>+<TargetRelicsNum:ModRelicID(105)>+<TargetRelicsNum:ModRelicID(106)>+<TargetRelicsNum:ModRelicID(107)>+<TargetRelicsNum:ModRelicID(108)>+<TargetRelicsNum:ModRelicID(109)>+<TargetRelicsNum:ModRelicID(110)>+<TargetRelicsNum:ModRelicID(111)>+<TargetRelicsNum:ModRelicID(112)>+<TargetRelicsNum:ModRelicID(113)>+<TargetRelicsNum:ModRelicID(114)>+<TargetRelicsNum:ModRelicID(115)>+<TargetRelicsNum:ModRelicID(116)>+<TargetRelicsNum:ModRelicID(117)>+<TargetRelicsNum:ModRelicID(118)>+(<TargetRelicsNum:ModRelicID(10001)>*2)]","2"]}	[1,2,3,4,5,6,91,92]	0	["1"]	1
ModRelicID(116)	1	1	Relic_BugPlate	Relic_BugPlate		null	RelicDesc_BugPlate	1	5	0	0	0	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","1"]}]}]	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","0"]}]}]	GHS[ModHighActionID(22),0,1,0,null&ModHighActionID(16),1,1,0,null&1057,0,1,0,BugFlatDamageBoost!1,null]	null	null	null	null	100	40	0	1	1	{"name":"LessThan","values":["[<TargetRelicsNum:ModRelicID(101)>+<TargetRelicsNum:ModRelicID(102)>+<TargetRelicsNum:ModRelicID(103)>+<TargetRelicsNum:ModRelicID(104)>+<TargetRelicsNum:ModRelicID(105)>+<TargetRelicsNum:ModRelicID(106)>+<TargetRelicsNum:ModRelicID(107)>+<TargetRelicsNum:ModRelicID(108)>+<TargetRelicsNum:ModRelicID(109)>+<TargetRelicsNum:ModRelicID(110)>+<TargetRelicsNum:ModRelicID(111)>+<TargetRelicsNum:ModRelicID(112)>+<TargetRelicsNum:ModRelicID(113)>+<TargetRelicsNum:ModRelicID(114)>+<TargetRelicsNum:ModRelicID(115)>+<TargetRelicsNum:ModRelicID(116)>+<TargetRelicsNum:ModRelicID(117)>+<TargetRelicsNum:ModRelicID(118)>+(<TargetRelicsNum:ModRelicID(10001)>*2)]","2"]}	[1,2,3,4,5,6,91,92]	0	["1"]	1
ModRelicID(117)	1	1	Relic_GhostPlate	Relic_GhostPlate		null	RelicDesc_GhostPlate	1	5	0	0	0	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","1"]}]}]	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","0"]}]}]	GHS[ModHighActionID(22),0,1,0,null&ModHighActionID(17),1,1,0,null&1057,0,1,0,GhostFlatDamageBoost!1,null]	null	null	null	null	100	40	0	1	1	{"name":"LessThan","values":["[<TargetRelicsNum:ModRelicID(101)>+<TargetRelicsNum:ModRelicID(102)>+<TargetRelicsNum:ModRelicID(103)>+<TargetRelicsNum:ModRelicID(104)>+<TargetRelicsNum:ModRelicID(105)>+<TargetRelicsNum:ModRelicID(106)>+<TargetRelicsNum:ModRelicID(107)>+<TargetRelicsNum:ModRelicID(108)>+<TargetRelicsNum:ModRelicID(109)>+<TargetRelicsNum:ModRelicID(110)>+<TargetRelicsNum:ModRelicID(111)>+<TargetRelicsNum:ModRelicID(112)>+<TargetRelicsNum:ModRelicID(113)>+<TargetRelicsNum:ModRelicID(114)>+<TargetRelicsNum:ModRelicID(115)>+<TargetRelicsNum:ModRelicID(116)>+<TargetRelicsNum:ModRelicID(117)>+<TargetRelicsNum:ModRelicID(118)>+(<TargetRelicsNum:ModRelicID(10001)>*2)]","2"]}	[1,2,3,4,5,6,91,92]	0	["1"]	1
ModRelicID(118)	1	1	Relic_SteelPlate	Relic_SteelPlate		null	RelicDesc_SteelPlate	1	5	0	0	0	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","1"]}]}]	[{"chance":1,"baseActions":[{"name":"DR_Adventure_UpdateData","values":["UniversalLearnset","0"]}]}]	GHS[ModHighActionID(22),0,1,0,null&ModHighActionID(18),1,1,0,null&1057,0,1,0,SteelFlatDamageBoost!1,null]	null	null	null	null	100	40	0	1	1	{"name":"LessThan","values":["[<TargetRelicsNum:ModRelicID(101)>+<TargetRelicsNum:ModRelicID(102)>+<TargetRelicsNum:ModRelicID(103)>+<TargetRelicsNum:ModRelicID(104)>+<TargetRelicsNum:ModRelicID(105)>+<TargetRelicsNum:ModRelicID(106)>+<TargetRelicsNum:ModRelicID(107)>+<TargetRelicsNum:ModRelicID(108)>+<TargetRelicsNum:ModRelicID(109)>+<TargetRelicsNum:ModRelicID(110)>+<TargetRelicsNum:ModRelicID(111)>+<TargetRelicsNum:ModRelicID(112)>+<TargetRelicsNum:ModRelicID(113)>+<TargetRelicsNum:ModRelicID(114)>+<TargetRelicsNum:ModRelicID(115)>+<TargetRelicsNum:ModRelicID(116)>+<TargetRelicsNum:ModRelicID(117)>+<TargetRelicsNum:ModRelicID(118)>+(<TargetRelicsNum:ModRelicID(10001)>*2)]","2"]}	[1,2,3,4,5,6,91,92]	0	["1"]	1
