ID	可用版本	可用平台	卡牌稀有度	购买价格	升级价格	掉率	能通过怪物获取	能通过Boss获取	能通过商店获取	能通过事件获取	能通过诅咒事件获取	能通过战斗内获取	能通过融合获取	是否解锁	掉落判定	可用世界	类别筛选(1.通用 2.地图二 3.世界三)
ModCardID(11009)	1	1	1	50	0	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(1010)	1	1	1	20	75	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(11010)	1	1	1	50	0	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(2001)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(12001)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(2002)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(12002)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(2003)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(12003)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(2004)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(12004)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(2005)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(12005)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(2006)	1	1	1	20	75	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(12006)	1	1	1	50	0	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(2007)	1	1	1	20	75	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(12007)	1	1	1	50	0	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(2008)	1	1	1	20	75	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(12008)	1	1	1	50	0	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(2009)	1	1	1	20	75	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(12009)	1	1	1	50	0	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(2010)	1	1	1	20	75	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(12010)	1	1	1	50	0	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3001)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13001)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3002)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13002)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3003)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13003)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3004)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13004)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3005)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13005)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3006)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13006)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3007)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13007)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3008)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13008)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3009)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13009)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3010)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13010)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3011)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13011)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3012)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13012)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3013)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13013)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3014)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13014)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3015)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13015)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3016)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13016)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3017)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13017)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3018)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13018)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3019)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13019)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3020)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13020)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3021)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13021)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3022)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13022)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3023)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13023)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3024)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13024)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3025)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13025)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3026)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13026)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3027)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13027)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3028)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13028)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3029)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13029)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3030)	1	1	1	20	75	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13030)	1	1	1	50	0	6	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:UniversalLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3031)	1	1	1	20	75	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13031)	1	1	1	50	0	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3032)	1	1	1	20	75	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13032)	1	1	1	50	0	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3033)	1	1	1	20	75	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13033)	1	1	1	50	0	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3034)	1	1	1	20	75	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13034)	1	1	1	50	0	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3035)	1	1	1	20	75	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13035)	1	1	1	50	0	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3036)	1	1	1	20	75	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13036)	1	1	1	50	0	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3037)	1	1	1	20	75	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13037)	1	1	1	50	0	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3038)	1	1	1	20	75	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13038)	1	1	1	50	0	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3039)	1	1	1	20	75	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13039)	1	1	1	50	0	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(3040)	1	1	1	20	75	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
ModCardID(13040)	1	1	1	50	0	7	1	1	1	1	1	1	1	1	{"name":"EqualsThan","values":["<DR_Adventure_GetValue:NefariousLearnset>","1"]}	[1,2,3,4,5,6,7,91,92]	1
